sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_tap,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,se5_time,se5_date,timelapse5,se5_frc,se5_trc,se5_turb,se5_airtemp,se5_wattemp,se5_cond,se5_ph,se5_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade
81,7/12/15,A,Q7V5,W4,7/12/15 8:39,0.78,0.89,0.81,20.2,20.1,91.6,6.46,750,Y,T,R,N,C,Y,Y,7/12/15 9:00,0.81,0.88,0.44,19.5,76.9,6.58,766,26,0.4,7/12/15 9:08,0.79,0.84,0.30,21.4,110.6,6.55,752,7/12/15 14:14,7/12/15,5:35,0.64,0.65,0.74,19.0,19.7,140.6,6.72,750,7/13/15 8:00,7/13/15,23:21:00,0.16,0.19,0.90,19.4,18.4,134.8,7.19,603,Y,N,Y,1%,P,Jug,Y,U,Y,Red,I,N
82,7/12/15,A,Q7V5,W5,7/12/15 9:15,0.65,0.72,0.23,20.1,19.9,107.3,6.41,754,Y,T,R,N,U,Y,Y,7/12/15 9:20,0.80,0.82,0.30,19.9,337.0,6.51,755,46,0.7,7/12/15 9:27,0.74,0.76,0.22,21.6,87.8,6.65,754,7/12/15 14:22,7/12/15,5:07,0.53,0.55,0.74,21.4,21.6,111.5,6.98,711,7/13/15 7:40,7/13/15,22:25:00,0.22,0.28,0.85,15.6,16.4,103.1,6.91,696,Y,N,Y,5%,P,Oil Container,N,U,Y,White,I,N
83,7/12/15,A,Q7V5,W5,7/12/15 9:15,0.68,0.74,0.19,20.7,20.1,105.9,6.42,754,Y,T,R,N,U,Y,Y,7/12/15 9:45,0.70,0.72,0.68,21.6,74.6,6.38,754,62,1.0,7/12/15 9:50,0.65,0.69,0.57,20.3,83.7,6.67,750,7/12/15 14:45,7/12/15,5:30,0.24,0.31,0.62,19.5,19.7,179.9,6.84,592,,7/13/15,,,,,,,,,,Y,Y,Y,1%,P,Cup,Y,U,Y,White,I,N
84,7/12/15,A,Q7V5,W5,7/12/15 9:55,0.69,0.71,0.01,20.5,20.4,110.6,6.47,740,Y,T,R,N,U,Y,Y,7/12/15 10:10,0.66,0.68,0.08,22.4,78.8,6.64,741,5,0.0,7/12/15 10:19,0.60,0.64,0.44,22.2,102.2,6.63,749,7/12/15 13:50,7/12/15,3:55,0.52,0.56,0.70,21.9,19.6,97.4,6.78,667,,7/13/15,,,,,,,,,,,,,,,,,,,,,
85,7/12/15,A,Q7V5,W4,7/12/15 8:40,0.75,0.82,0.30,17.4,18.0,74.9,6.77,691,Y,T,R,N,U,Y,Y,7/12/15 8:55,0.77,0.82,1.00,18.5,69.8,6.51,762,35,1.0,7/12/15 10:05,0.75,0.82,0.69,19.1,79.7,6.54,764,7/12/15 13:49,7/12/15,5:09,0.70,0.71,0.15,20.0,18.6,74.3,6.55,755,7/13/15 7:50,7/13/15,23:10:00,0.52,0.53,0.45,18.3,16.8,91.4,6.95,711,N,N,Y,68%,P,R,N,U,Y,Y,I,N
86,7/12/15,A,Q7V5,W4,7/12/15 9:03,0.80,0.84,0.72,16.8,18.4,76.0,6.43,772,Y,T,R,N,U,Y,Y,7/12/15 9:12,0.83,0.85,0.52,18.3,73.4,6.61,760,52,1.0,7/12/15 9:25,0.84,0.85,0.17,18.6,103.5,6.62,746,7/12/15 14:02,7/12/15,4:59,0.75,0.76,0.63,19.8,18.9,77.6,6.80,738,7/13/15 7:57,7/13/15,22:54:00,0.55,0.64,0.65,19.0,16.0,72.8,7.47,689,N,N,Y,2%,P,R,N,U,Y,Y,I,N
87,7/12/15,A,Q7V5,W5,7/12/15 9:43,0.69,0.71,0.87,20.1,20.6,77.6,6.50,714,Y,T,Oil container,N,U,Y,White,7/12/15 9:53,0.65,0.68,0.04,19.5,88.0,6.47,746,5,0.5,7/12/15 10:03,0.64,0.67,0.04,20.1,89.1,6.41,738,7/12/15 14:10,7/12/15,4:27,0.47,0.49,0.74,20.1,19.9,91.2,6.66,718,7/13/15 7:43,7/13/15,22:00:00,0.25,0.28,0.37,17.7,16.4,74.1,6.74,683,N,N,Y,50%,P,Oil Container,N,U,Y,White,I,N
88,7/12/15,A,Q7V5,W5,7/12/15 10:15,0.54,0.56,0.49,17.4,19.6,69.7,6.46,740,Y,T,Oil container,N,U,Y,White,7/12/15 10:17,0.49,0.51,0.10,20.6,68.5,6.53,727,30,0.5,7/12/15 10:20,0.47,0.49,0.23,21.4,69.7,6.50,736,,7/12/15,,,,,,,,,,,7/13/15,,,,,,,,,,,,,,,,,,,,,
89,7/13/15,A,Q7V4,W7,7/13/15 8:52,0.41,0.44,0.82,19.8,18.9,85.2,6.96,693,Y,T,R,N,D,Y,Y,7/13/15 9:14,0.42,0.52,0.60,18.1,85.2,6.89,740,25,0.4,7/13/15 9:19,0.42,0.49,0.78,20.9,105.3,7.10,702,7/13/15 13:43,7/13/15,4:51,0.32,0.33,0.13,22.1,21.6,187.2,7.01,665,7/14/15 7:39,7/14/15,22:47:00,0.05,0.21,0.91,14.7,16.4,125.7,7.06,301,Y,N,Y,1%,P,Oil Container,Y,U,Y,White,I,N
90,7/13/15,A,Q7V4,W7,7/13/15 9:25,0.48,0.54,0.69,18.5,18.3,100.5,6.90,730,Y,T,R,N,U,Y,Y,7/13/15 9:30,0.49,0.58,0.46,18.5,89.8,6.99,736,48,0.8,7/13/15 9:34,0.41,0.46,0.24,20.1,93.0,6.73,,7/13/15 14:22,7/13/15,4:57,0.45,0.47,0.01,22.9,20.0,94.8,7.03,714,7/14/15 8:09,7/14/15,22:44:00,0.25,0.31,1.56,18.0,16.2,97.7,7.43,666,N,N,Y,5%,P,R,N,U,Y,Y,I,N
