sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade,,,,,,,,,,,
37,7/21/14,3,15,3,7/21/14 10:30,1.24,1.26,1.23,27.5,26.1,537,8.00,658,1,2,1,2,1,1,7/21/14 10:45,1.10,1.14,1.62,26.5,531,7.88,672,145,2.0,7/21/14 10:55,1.06,1.08,1.37,26.7,532,7.80,668,7/22/14 11:40,7/22/14,25:10:00,0.92,0.91,1.30,28.3,25.5,519,6.89,604,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
38,7/21/14,3,15,3,7/21/14 10:30,1.08,1.12,2.11,28.1,26.7,520,7.32,736,1,2,1,2,1,1,7/21/14 10:45,1.42,1.20,4.83,26.8,527,7.52,711,148,1.0,7/21/14 10:55,1.14,1.06,2.25,27.1,528,7.19,752,,7/22/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7/22/14,3,14,9,7/22/14 9:55,1.04,1.18,1.90,32.1,26.2,425,7.23,592,1,1,1,1,1,1,7/22/14 10:15,1.26,1.24,2.35,26.5,423,7.08,608,160,2.0,7/22/14 10:25,1.28,1.20,2.50,27.2,422,7.06,632,,7/23/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,7/22/14,3,14,9,7/22/14 10:45,1.22,1.26,1.56,29.7,27.0,413,7.16,637,1,2,1,2,1,1,7/22/14 10:55,1.20,1.20,1.23,27.2,424,7.27,633,255,3.0,7/22/14 11:10,0.91,0.99,1.80,27.7,423,7.19,643,7/23/14 11:40,7/23/14,24:55:00,0.02,0.07,1.04,30.5,27.1,428,6.68,301,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
41,7/22/14,3,14,9,7/22/14 9:55,1.20,1.18,1.92,22.7,25.9,414,7.41,755,1,4,1,1,1,1,7/22/14 10:10,1.20,1.16,0.97,26.2,424,7.21,730,169,2.0,7/22/14 10:25,0.96,0.91,1.90,27.1,416,7.35,707,7/23/14 11:20,7/23/14,25:25:00,0.14,0.17,1.42,30.3,24.9,415,7.42,416,0,0,0,1.00,1,4,1,1,1,1,,,,,,,,,,,,,
42,7/22/14,3,14,9,7/22/14 10:45,1.06,1.10,2.10,26.9,26.7,415,7.29,766,1,4,0,2,1,1,7/22/14 10:55,1.12,1.10,2.11,26.5,415,7.32,759,260,3.0,7/22/14 11:10,1.06,1.01,2.05,27.7,421,7.35,681,7/23/14 11:45,7/23/14,25:00:00,0.74,0.75,1.34,28.6,26.8,418,7.61,709,0,0,0,1.00,1,4,0,2,1,1,,,,,,,,,,,,,
43,7/23/14,3,10,8,7/23/14 9:45,0.96,0.95,1.06,25.3,27.4,905,7.49,681,1,4,1,1,1,1,7/23/14 10:00,1.06,1.10,1.06,27.4,912,7.72,724,150,1.0,7/23/14 10:10,0.76,0.77,0.33,27.6,907,7.62,741,7/24/14 11:30,7/24/14,25:45:00,0.53,0.64,1.25,29.8,26.2,902,7.62,724,0,0,0,1.00,1,4,1,1,1,1,,,,,,,,,,,,,
44,7/23/14,3,10,8,7/23/14 9:45,1.01,1.10,1.38,26.5,27.4,695,7.38,566,1,4,1,1,1,1,7/23/14 10:00,0.99,0.95,1.42,28.5,602,7.43,640,45,1.0,7/23/14 10:15,0.75,0.78,1.57,27.4,921,7.42,628,7/24/14 11:10,7/24/14,25:25:00,0.31,0.32,2.40,24.8,26.8,923,7.25,551,0,0,1,0.50,1,4,1,1,1,1,,,,,,,,,,,,,
45,7/23/14,3,10,8,7/23/14 10:30,0.93,0.98,1.97,29.9,28.2,846,7.44,648,1,1,1,2,1,1,7/23/14 10:55,0.94,0.92,2.63,29.2,928,7.39,602,140,2.0,7/23/14 11:15,0.85,0.88,1.68,27.8,805,7.27,588,7/24/14 11:30,7/24/14,25:00:00,0.54,0.57,1.94,27.8,26.0,920,7.31,590,0,0,0,1.00,1,1,1,2,1,1,,,,,,,,,,,,,
46,7/23/14,3,10,8,7/23/14 10:30,0.90,0.93,1.31,28.9,27.8,902,7.52,742,1,2,1,2,1,1,7/23/14 10:45,0.83,0.86,1.62,28.5,908,7.52,752,80,0.5,7/23/14 11:00,0.55,0.58,1.20,29.1,910,7.56,748,7/24/14 11:50,7/24/14,25:20:00,0.85,0.77,1.61,26.7,25.7,909,7.80,741,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
